Creation Date,UID,SKU,Products,Type,Title,Collection,Category,Family,Price,Color,Size,Display,,Count,Online,Images
10/3/2013,MD29BLACK-S,MD29BLACK-S,"MD29BLACK-S,MD29BLACK-M,MD29BLACK-L",,TUNIC W/COWLNECK BLACK,Clothing,Tops,Tops,40.00,Black,S,1,5,2,y,
10/3/2013,,MD29BLACK-M,,,TUNIC W/COWLNECK BLACK,Clothing,Tops,Tops,40.00,Black,M,,,2,y,
10/3/2013,,MD29BLACK-L,,,TUNIC W/COWLNECK BLACK,Clothing,Tops,Tops,40.00,Black,L,,,0,y,
10/4/2013,NJ70934G-S,NJ70934G-S,"NJ70934G-S,NJ70934G-M,NJ70934G-L",,JUMPSUIT DUSTY MAUVE,Clothing,Bottoms,Pants,75.00,MAUVE,S,1,2,2,y,
10/4/2013,,NJ70934G-M,,,JUMPSUIT DUSTY MAUVE,Clothing,Bottoms,Pants,75.00,MAUVE,M,1,2,2,y,
10/4/2013,,NJ70934G-L,,,JUMPSUIT DUSTY MAUVE,Clothing,Bottoms,Pants,75.00,MAUVE,L,1,1,1,y,
10/4/2013,DM12213G-S,DM12213G-S,"DM12213G-S,DM12213G-M,DM12213G-L",,NAVY DRESS PEARLS & BEADS,Clothing,Dresses,DRESS,45.00,NAVY,S,1,3,2,y,
10/4/2013,,DM12213G-M,,,NAVY DRESS PEARLS & BEADS,Clothing,Dresses,DRESS,45.00,NAVY,M,1,2,1,y,
10/4/2013,,DM12213G-L,,,NAVY DRESS PEARLS & BEADS,Clothing,Dresses,DRESS,45.00,NAVY,L,1,1,1,y,
,AD3296-M,AD3296-M,AD3296-M,,ASYMMETRIC GREY DRESS,Clothing,Dresses,DRESS,65.00,GREY,M,,,1,y,
,AU13-103B-S,AU13-103B-S,AU13-103B-S,,BARBRA DRESS BLACK,Clothing,Dresses,DRESS,63.00,Black,S,,,1,y,
,AU13-103B-L,AU13-103B-L,AU13-103B-L,,BARBRA DRESS BLACK,Clothing,Dresses,DRESS,63.00,Black,L,,,1,y,
,AU13-103S-S,AU13-103S-S,AU13-103S-S,,BARBRA DRESS SAND,Clothing,Dresses,DRESS,63.00,CREAM,S,,,1,y,
,AU13-103S-M,AU13-103S-M,AU13-103S-M,,BARBRA DRESS SAND,Clothing,Dresses,DRESS,63.00,CREAM,M,,,1,y,
,51187D-J-M,51187D-J-M,51187D-J-M,,BELT MAXI DRESS,Clothing,Dresses,DRESS,59.99,PEACH,M,,,2,y,
,51187D-J-L,51187D-J-L,51187D-J-L,,BELT MAXI DRESS,Clothing,Dresses,DRESS,59.99,PEACH,L,,,1,y,
,AU13-069-M,AU13-069-M,AU13-069-M,,BFAST T-SHIRT,Clothing,Tops,Tops,38.25,YELLOW,M,,,2,y,
,AU13-069-L,AU13-069-L,AU13-069-L,,BFAST T-SHIRT,Clothing,Tops,Tops,38.25,YELLOW,L,,,1,y,
,51003D-K-L,51003D-K-L,51003D-K-L,,BIKINI DRESS,Clothing,Dresses,DRESS,69.99,White,L,,,1,y,
,51222D-K-M,51222D-K-M,51222D-K-M,,BIRD PRINT DRESS,Clothing,Dresses,DRESS,64.99,,M,,,1,y,
,JE266-M,JE266-M,JE266-M,,BLACK PANTS W/HIP ELASTIC,Clothing,Bottoms,Pants,50.00,BLK,M,,,0,y,
,JE266-L,JE266-L,JE266-L,,BLACK PANTS W/HIP ELASTIC,Clothing,Bottoms,Pants,50.00,BLK,L,,,4,y,
,JE265-M,JE265-M,JE265-M,,BLACK PANTS W/SIDE PANEL,Clothing,Bottoms,Pants,54.00,BLK,M,,,0,y,
,JE265-L,JE265-L,JE265-L,,BLACK PANTS W/SIDE PANEL,Clothing,Bottoms,Pants,54.00,BLK,L,,,1,y,
,D54399-M,D54399-M,D54399-M,,BLACK PLEATED MAXI DRESS,Clothing,Dresses,DRESS,79.99,BLK,M,,,1,y,
,NJ70915T-M,NJ70915T-M,NJ70915T-M,,BLACK ROMPER,Clothing,Dresses,DRESS,63.00,Black,M,,,1,y,
,NJ70915T-L,NJ70915T-L,NJ70915T-L,,BLACK ROMPER,Clothing,Dresses,DRESS,63.00,Black,L,,,1,y,
,M7923-M,M7923-M,M7923-M,,BLACK SLEEVELESS DRESS W/BEADS,Clothing,Dresses,DRESS,44.99,,M,,,2,y,
,M7923-L,M7923-L,M7923-L,,BLACK SLEEVELESS DRESS W/BEADS,Clothing,Dresses,DRESS,44.99,,L,,,1,y,
,M7996B-L,M7996B-L,M7996B-L,,BLACK SLEEVELESS TANK DRESS,Clothing,Dresses,DRESS,15.99,,L,,,1,y,
,SWS83-M,SWS83-M,SWS83-M,,BLK/WHITE SWEATER,Clothing,Tops,Tops,74.25,BLK/WHT,M,,,1,y,
,SWS83-L,SWS83-L,SWS83-L,,BLK/WHITE SWEATER,Clothing,Tops,Tops,74.25,BLK/WHT,L,,,1,y,
,8M3020-M,8M3020-M,8M3020-M,,CAMEL KNIT JACKET,,,COAT,59.99,Orange,M,,,1,y,
,8M3020-L,8M3020-L,8M3020-L,,CAMEL KNIT JACKET,,,COAT,59.99,Orange,L,,,2,y,
,AU13-013-S,AU13-013-S,AU13-013-S,,CAPE RDBRK FLY AWAY,,,COAT,90.00,Orange,S,,,1,y,
,AU13-013-M,AU13-013-M,AU13-013-M,,CAPE RDBRK FLY AWAY,,,COAT,90.00,Orange,M,,,1,y,
,AU13-013-L,AU13-013-L,AU13-013-L,,CAPE RDBRK FLY AWAY,,,COAT,90.00,Orange,L,,,1,y,
,TT1073BP-L,TT1073BP-L,TT1073BP-L,,CORAL TOP,Clothing,Tops,Tops,34.99,,L,,,1,y,
,DJ16629G-L,DJ16629G-L,DJ16629G-L,,CREAM FLARE DRESS,Clothing,Dresses,DRESS,67.50,CREAM,L,,,1,y,
,20358T-Y-M,20358T-Y-M,20358T-Y-M,,CREAM TOP W/TIE,Clothing,Tops,Tops,40.00,CREAM,M,,,1,y,
,20358T-Y-L,20358T-Y-L,20358T-Y-L,,CREAM TOP W/TIE,Clothing,Tops,Tops,40.00,CREAM,L,,,1,y,
,AJ4137-S13-L,AJ4137-S13-L,AJ4137-S13-L,,CROCHET CARDIGAN,Clothing,Tops,Tops,52.00,Orange,L,,,1,y,
,DJ16858T-M,DJ16858T-M,DJ16858T-M,,DRESS EMBROIDERY DETAIL,Clothing,Dresses,DRESS,81.00,CREAM,M,,,1,y,
,DJ16858T-L,DJ16858T-L,DJ16858T-L,,DRESS EMBROIDERY DETAIL,Clothing,Dresses,DRESS,81.00,CREAM,L,,,1,y,
,DJ15892T-M,DJ15892T-M,DJ15892T-M,,DRESS GREEN W/FLOWERS,Clothing,Dresses,DRESS,54.00,GREEN,M,,,1,y,
,AU13-059-M,AU13-059-M,AU13-059-M,,FERUS DRESS CARROT,Clothing,Dresses,DRESS,54.00,Orange,M,,,2,y,
,AU13-059-L,AU13-059-L,AU13-059-L,,FERUS DRESS CARROT,Clothing,Dresses,DRESS,54.00,Orange,L,,,1,y,
,P20041L-L,P20041L-L,P20041L-L,,FLOWER SHORTS LIME,Clothing,Bottoms,SHORTS,32.00,LIME,L,,,1,y,
,P20041J-M,P20041J-M,P20041J-M,,FLOWERS SHORTS JADE,Clothing,Bottoms,SHORTS,32.00,JADE,M,,,1,y,
,51217D-K-M,51217D-K-M,51217D-K-M,,FUSIA DRESS,Clothing,Dresses,DRESS,64.99,PINK,M,,,1,y,
,51217D-K-L,51217D-K-L,51217D-K-L,,FUSIA DRESS,Clothing,Dresses,DRESS,64.99,PINK,L,,,1,y,
,DJ16907B-M,DJ16907B-M,DJ16907B-M,,GOLD NET DRESS,Clothing,Dresses,DRESS,51.75,GOLD,M,,,2,y,
,DJ16907B-L,DJ16907B-L,DJ16907B-L,,GOLD NET DRESS,Clothing,Dresses,DRESS,51.75,GOLD,L,,,1,y,
,AD3119-F11-M,AD3119-F11-M,AD3119-F11-M,,GREY & NAVY STRIP DRESS,Clothing,Dresses,DRESS,75.00,GREY,M,,,1,y,
